target,model,n,mae,rmse,r2,directional_accuracy,cv_rmse,feature_set
GVA,Ridge,52,1.716143778616046,4.025095457732237,0.6674602952968006,0.8461538461538461,1.5334280552543524,AR-only
GVA,ElasticNet,52,1.7092387451609552,4.037241517841212,0.6654503348549612,0.8461538461538461,1.5379035450131133,AR-only
GVA,HistGradientBoosting,52,3.2120146096686093,6.4943069780519505,0.1343212345158563,0.8269230769230769,2.665868265094948,AR-only
GVA,XGBoost,52,3.190324237487781,6.569696377203797,0.11410605030041732,0.8846153846153846,2.2438259991999208,AR-only
GVA,Naive,52,10.726923076923073,12.646799534330354,-2.2828603387780233,0.11538461538461539,,AR-only
GVA,SeasonalNaive,52,9.55769230769231,15.239523513649532,-3.766876657059818,0.5,,AR-only
GVA,ElasticNet,52,1.751572512777687,3.971668448390851,0.6762296225387544,0.8653846153846154,1.5723961005196987,Energy+AR
GVA,Ridge,52,1.7856378915802233,3.9721107334940675,0.6761575083681046,0.8653846153846154,1.5930494220183042,Energy+AR
GVA,HistGradientBoosting,52,3.186002807140178,6.6164080263586325,0.10146355361757531,0.8461538461538461,2.692023568846885,Energy+AR
GVA,XGBoost,52,3.553615977887351,7.008160258709883,-0.008089722104317021,0.7115384615384616,2.3297766667211635,Energy+AR
GVA,Naive,52,10.726923076923073,12.646799534330354,-2.2828603387780233,0.11538461538461539,,Energy+AR
GVA,SeasonalNaive,52,9.55769230769231,15.239523513649532,-3.766876657059818,0.5,,Energy+AR
GVA,ElasticNet,52,1.751572512777687,3.971668448390851,0.6762296225387544,0.8653846153846154,1.5723961005196987,Energy+Behavioural+AR
GVA,Ridge,52,1.7856378915802233,3.9721107334940675,0.6761575083681046,0.8653846153846154,1.5930494220183042,Energy+Behavioural+AR
GVA,HistGradientBoosting,52,3.186002807140178,6.6164080263586325,0.10146355361757531,0.8461538461538461,2.692023568846885,Energy+Behavioural+AR
GVA,XGBoost,52,3.553615977887351,7.008160258709883,-0.008089722104317021,0.7115384615384616,2.3297766667211635,Energy+Behavioural+AR
GVA,Naive,52,10.726923076923073,12.646799534330354,-2.2828603387780233,0.11538461538461539,,Energy+Behavioural+AR
GVA,SeasonalNaive,52,9.55769230769231,15.239523513649532,-3.766876657059818,0.5,,Energy+Behavioural+AR
GVA,Ridge,52,1.7835922681257694,3.962817950091232,0.6776709998481205,0.8461538461538461,1.7296206920757207,Full
GVA,ElasticNet,52,1.6126228018242648,4.071921691937339,0.6596780407822715,0.8461538461538461,1.608943343655921,Full
GVA,XGBoost,52,3.3852669130580932,6.537465212085206,0.12277718228248247,0.7692307692307693,2.2854399820018005,Full
GVA,HistGradientBoosting,52,3.192481483131448,6.670568512970356,0.08669289489511656,0.8461538461538461,2.7195549775648757,Full
GVA,Naive,52,10.726923076923073,12.646799534330354,-2.2828603387780233,0.11538461538461539,,Full
GVA,SeasonalNaive,52,9.55769230769231,15.239523513649532,-3.766876657059818,0.5,,Full
Retail,ElasticNet,52,1.40099044973585,2.147323736354963,-0.04219902926561847,0.46153846153846156,1.6022806653210584,AR-only
Retail,Ridge,52,1.4010814253559423,2.148571469681032,-0.043410550605705645,0.46153846153846156,1.627468576013587,AR-only
Retail,HistGradientBoosting,52,1.406191032526556,2.1895982867113672,-0.0836386932696922,0.5384615384615384,1.594911133802929,AR-only
Retail,Naive,52,1.5407014981125657,2.2405700799860004,-0.134678116679799,0.4423076923076923,,AR-only
Retail,XGBoost,52,1.4891470270756146,2.372139234216785,-0.2718502157815472,0.5,1.5700489890070963,AR-only
Retail,SeasonalNaive,52,3.083394164862366,5.102408510154018,-4.884452577390192,0.38461538461538464,,AR-only
Retail,Ridge,52,1.4148124133539413,2.137017663760004,-0.0322189754639568,0.5192307692307693,1.6494957229234657,Energy+AR
Retail,ElasticNet,52,1.402538251356816,2.1559821172075524,-0.05062062740614737,0.4423076923076923,1.6030163222971177,Energy+AR
Retail,HistGradientBoosting,52,1.4604970861990405,2.205730796213387,-0.09966557163997902,0.4423076923076923,1.6019791834294956,Energy+AR
Retail,Naive,52,1.5407014981125657,2.2405700799860004,-0.134678116679799,0.4423076923076923,,Energy+AR
Retail,XGBoost,52,1.502794827745929,2.3067503570959214,-0.2026986064792513,0.4423076923076923,1.5818787672606114,Energy+AR
Retail,SeasonalNaive,52,3.083394164862366,5.102408510154018,-4.884452577390192,0.38461538461538464,,Energy+AR
Retail,Ridge,52,1.4148124133539413,2.137017663760004,-0.0322189754639568,0.5192307692307693,1.6494957229234657,Energy+Behavioural+AR
Retail,ElasticNet,52,1.402538251356816,2.1559821172075524,-0.05062062740614737,0.4423076923076923,1.6030163222971177,Energy+Behavioural+AR
Retail,HistGradientBoosting,52,1.4604970861990405,2.205730796213387,-0.09966557163997902,0.4423076923076923,1.6019791834294956,Energy+Behavioural+AR
