target,model,ar_only_rmse,energy_ar_rmse,energy_vs_ar_pct_improvement,energy_beh_ar_rmse,beh_vs_energy_pct_improvement
GVA,Ridge,4.025095457732237,3.9721107334940675,1.316359445249572,3.9721107334940675,0.0
GVA,ElasticNet,4.037241517841212,3.971668448390851,1.6242047734965503,3.971668448390851,0.0
GVA,HistGradientBoosting,6.4943069780519505,6.6164080263586325,-1.8801243723053536,6.6164080263586325,0.0
GVA,XGBoost,6.569696377203797,7.008160258709883,-6.6740356986285265,7.008160258709883,0.0
GVA,Naive,12.646799534330354,12.646799534330354,0.0,12.646799534330354,0.0
GVA,SeasonalNaive,15.239523513649532,15.239523513649532,0.0,15.239523513649532,0.0
Retail,ElasticNet,2.147323736354963,2.1559821172075524,-0.4032173028221138,2.1559821172075524,0.0
Retail,Ridge,2.148571469681032,2.137017663760004,0.5377436163546874,2.137017663760004,0.0
Retail,HistGradientBoosting,2.1895982867113672,2.205730796213387,-0.7367794174816382,2.205730796213387,0.0
Retail,Naive,2.2405700799860004,2.2405700799860004,0.0,2.2405700799860004,0.0
Retail,XGBoost,2.372139234216785,2.3067503570959214,2.7565362175063517,2.3067503570959214,0.0
Retail,SeasonalNaive,5.102408510154018,5.102408510154018,0.0,5.102408510154018,0.0
